party.id,vote.pres,bible,game.thrones
Rep,Trump,Literal word of God,Not watch
Rep,Trump,Not word of God,Watch
Dem, ,Not word of God,Not watch
Rep, ,Literal word of God,Not watch
Dem,Other,Not literal word of God, 
Rep,Trump,Not literal word of God,Not watch
Dem,Clinton,Not literal word of God,Not watch
Ind,Trump,Not literal word of God,Not watch
Rep, ,Not word of God,Not watch
Dem,Other,Not literal word of God,Not watch
Rep, ,Not literal word of God,Not watch
Dem, ,Not literal word of God,Not watch
Rep,Other,Not literal word of God,Not watch
Dem,Trump,Not literal word of God,Not watch
Dem,Clinton,Not literal word of God,Not watch
Dem, ,Not literal word of God, 
Dem,Clinton,Not word of God, 
Rep,Trump,Not word of God,Not watch
Dem,Clinton,Not literal word of God,Watch
Rep, ,Literal word of God,Not watch
Rep, ,Not literal word of God,Not watch
Rep,Trump,Not word of God,Not watch
Rep,Clinton,Not literal word of God, 
Rep,Trump,Literal word of God,Not watch
Rep,Trump,Not literal word of God,Not watch
Rep, ,Not literal word of God, 
Ind, ,Not literal word of God,Not watch
Ind, ,Not literal word of God,Not watch
Dem,Clinton,Not word of God,Not watch
Ind, ,Literal word of God,Not watch
Dem, ,Not literal word of God,Not watch
Rep, ,Literal word of God,Not watch
Rep,Trump,Literal word of God,Not watch
Rep,Trump,Literal word of God,Not watch
Rep, ,Literal word of God, 
Dem,Clinton,Not literal word of God,Not watch
Dem, ,Not literal word of God, 
Rep,Trump,Literal word of God,Not watch
Dem, ,Literal word of God,Not watch
Dem,Clinton,Not literal word of God,Not watch
Rep, ,Literal word of God, 
Rep,Trump,Not literal word of God,Not watch
Dem,Clinton,Literal word of God,Not watch
Rep,Trump,Literal word of God,Not watch
Rep,Trump,Not word of God,Watch
Dem,Clinton,Literal word of God,Not watch
Ind, ,Literal word of God,Not watch
Rep,Trump,Literal word of God,Not watch
Dem, ,Not word of God,Not watch
Dem, ,Not word of God,Not watch
Dem, ,Literal word of God, 
Dem,Clinton,Not literal word of God,Not watch
Rep, ,Not literal word of God,Not watch
Rep,Trump,Not literal word of God,Not watch
Dem,Clinton,Not word of God,Watch
Dem, ,Not word of God,Watch
Rep,Clinton,Not literal word of God, 
Dem,Clinton,Literal word of God,Not watch
Dem,Clinton,Not literal word of God,Not watch
Rep, ,Not literal word of God,Not watch
Dem,Clinton,Not literal word of God,Watch
Dem,Clinton,Literal word of God,Not watch
Rep,Trump,Not literal word of God, 
Rep,Trump,Literal word of God,Not watch
Dem, ,Literal word of God, 
Dem, ,Not word of God,Not watch
Dem, ,Not literal word of God,Watch
